Ruta,Sección,Contexto,Texto ES,Texto EN,Notas,Estado
hero.cta,hero,Home · Hero,Evaluar mi granja,Assess my farm,,Pendiente
hero.pill,hero,Home · Hero,"Cámaras inteligentes, sensores y análisis que convierten los datos de tu granja en la certeza de decidir bien.","Smart cameras, sensors and analytics that turn your farm's data into the certainty to decide well.",,Pendiente
problems.title,problems,Home · 'Lo que pasa cuando decides sin datos',Lo que pasa cuando decides sin datos,What happens when you decide without data,,Pendiente
problems.items.[0].title,problems,Home · 'Lo que pasa cuando decides sin datos',No controlas el alimento,You don't control the feed,,Pendiente
problems.items.[0].text,problems,Home · 'Lo que pasa cuando decides sin datos',"Sin saber el nivel real del alimento, pedir más o dejar de pedir te cuesta.","Without knowing the real feed level, ordering more or stopping orders costs you money.",,Pendiente
problems.items.[1].title,problems,Home · 'Lo que pasa cuando decides sin datos',Decides con estimaciones,You decide on estimates,,Pendiente
problems.items.[1].text,problems,Home · 'Lo que pasa cuando decides sin datos',"Al no conocer el peso real del lote, puedes retrasar o adelantar salidas y afectar la rentabilidad.","Not knowing the real weight of the batch, you may delay or bring forward shipments and hurt profitability.",,Pendiente
problems.items.[2].title,problems,Home · 'Lo que pasa cuando decides sin datos',Alteras la conversión,You alter conversion,,Pendiente
problems.items.[2].text,problems,Home · 'Lo que pasa cuando decides sin datos',"Si no detectas a tiempo cambios en las condiciones ambientales, impactas la eficiencia productiva.","If you don't detect changes in environmental conditions in time, you impact productive efficiency.",,Pendiente
problems.items.[3].title,problems,Home · 'Lo que pasa cuando decides sin datos',Impactas la ganancia de peso,You impact weight gain,,Pendiente
problems.items.[3].text,problems,Home · 'Lo que pasa cuando decides sin datos',"Al perder de vista el estado real del alimento, terminas desperdiciando recursos.","By losing sight of the real state of the feed, you end up wasting resources.",,Pendiente
solutions.title,solutions,Home · 'Así lo solucionamos',Así lo soluciona Asimetrix,How Asimetrix solves it,,Pendiente
solutions.precision,solutions,Home · 'Así lo solucionamos',de precisión,accuracy,,Pendiente
solutions.seeHow,solutions,Home · 'Así lo solucionamos',Ver cómo funciona,See how it works,,Pendiente
solutions.see,solutions,Home · 'Así lo solucionamos',Ver,See,,Pendiente
solutions.prev,solutions,Home · 'Así lo solucionamos',Producto anterior,Previous product,,Pendiente
solutions.next,solutions,Home · 'Así lo solucionamos',Siguiente producto,Next product,,Pendiente
solutions.items.[0].name,solutions,Home · 'Así lo solucionamos',PigVision,PigVision,,Pendiente
solutions.items.[0].text,solutions,Home · 'Así lo solucionamos',Conoce el peso preciso de tus lotes sin estresar a los cerdos.,Know the precise weight of your batches without stressing the pigs.,,Pendiente
solutions.items.[1].name,solutions,Home · 'Así lo solucionamos',Insylo,Insylo,,Pendiente
solutions.items.[1].text,solutions,Home · 'Así lo solucionamos',Conoce el nivel real de tus silos y evita faltantes de alimento.,Know the real level of your silos and avoid feed shortages.,,Pendiente
solutions.items.[2].name,solutions,Home · 'Así lo solucionamos',Sensores ambientales,Environmental sensors,,Pendiente
solutions.items.[2].text,solutions,Home · 'Así lo solucionamos',"Monitoreo continuo de temperatura, humedad, CO₂ y amoníaco.","Continuous monitoring of temperature, humidity, CO₂ and ammonia.",,Pendiente
audience.title1,audience,Home · '¿Para quién es Asimetrix?',¿Para quién,Who is,,Pendiente
audience.title2,audience,Home · '¿Para quién es Asimetrix?',es Asimetrix?,Asimetrix for?,,Pendiente
audience.segments.[0].title,audience,Home · '¿Para quién es Asimetrix?',Productores,Producers,,Pendiente
audience.segments.[0].text,audience,Home · '¿Para quién es Asimetrix?',"que buscan más control, rentabilidad
y decisiones respaldadas por datos.","seeking more control, profitability
and decisions backed by real data.",,Pendiente
audience.segments.[1].title,audience,Home · '¿Para quién es Asimetrix?',Galponeros y técnicos,Farm & technical teams,,Pendiente
audience.segments.[1].text,audience,Home · '¿Para quién es Asimetrix?',"que necesitan datos confiables
y simplicidad en su día a día.","who need reliable data
and simplicity in their day-to-day work.",,Pendiente
audience.segments.[2].title,audience,Home · '¿Para quién es Asimetrix?',Líderes,Leaders,,Pendiente
audience.segments.[2].text,audience,Home · '¿Para quién es Asimetrix?',"que toman decisiones estratégicas
con datos, no con intuición.","who make strategic decisions
based on data, not guesswork.",,Pendiente
videoSection.title,videoSection,Home · Video section,Tecnología que funciona en el campo,Technology that works in the field,,Pendiente
midCta.title,midCta,Home · Mid CTA,¿Quieres ver cómo funcionaría en tu granja?,Want to see how it would work on your farm?,,Pendiente
midCta.cta,midCta,Home · Mid CTA,Hablemos sobre tu granja,Let's talk about your farm,,Pendiente
ecosystem.title1,ecosystem,Home · Iluma Alliance,Somos parte de un,We are part of a,,Pendiente
ecosystem.title2,ecosystem,Home · Iluma Alliance,ecosistema global,global ecosystem,,Pendiente
ecosystem.title3,ecosystem,Home · Iluma Alliance,de innovación,of innovation,,Pendiente
ecosystem.copy.[0],ecosystem,Home · Iluma Alliance,Impulsados por el propósito de diseñar nutrición para mejorar vidas.,Driven by the purpose of designing nutrition to improve lives.,,Pendiente
ecosystem.copy.[1],ecosystem,Home · Iluma Alliance,"Integramos ciencia, tecnología y conocimiento para enfrentar los desafíos reales de la producción animal.","We integrate science, technology and knowledge to face the real challenges of animal production.",,Pendiente
ecosystem.copy.[2],ecosystem,Home · Iluma Alliance,"En Asimetrix convertimos ese propósito en datos que ayudan a decidir mejor, granja por granja.","At Asimetrix, we turn that purpose into data that helps you decide better, farm by farm.",,Pendiente
ecosystem.stat1Value,ecosystem,Home · Iluma Alliance,+1000 personas,+1000 people,,Pendiente
ecosystem.stat1Label,ecosystem,Home · Iluma Alliance,alineadas bajo un mismo propósito.,aligned under a single purpose.,,Pendiente
ecosystem.stat2Value,ecosystem,Home · Iluma Alliance,+ 600 millones,+ 600 million,,Pendiente
ecosystem.stat2Label,ecosystem,Home · Iluma Alliance,de vidas diarias impactadas,lives impacted daily,,Pendiente
research.pre,research,Home · Research Triangle,Nos situamos en,We are located in,,Pendiente
research.title,research,Home · Research Triangle,"el Research Triangle,","the Research Triangle,",,Pendiente
research.post,research,Home · Research Triangle,Carolina del Norte,North Carolina,,Pendiente
research.p1,research,Home · Research Triangle,"Uno de los epicentros de innovación, investigación y ciencias de la vida.","One of the epicenters of innovation, research and life sciences.",,Pendiente
research.p2,research,Home · Research Triangle,Un entorno que impulsa nuestro desarrollo tecnológico y fortalece nuestra capacidad para transformar conocimiento en soluciones reales para la producción animal.,An environment that drives our technological development and strengthens our capacity to transform knowledge into real solutions for animal production.,,Pendiente
research.imageAlt,research,Home · Research Triangle,"Research Triangle, Carolina del Norte","Research Triangle, North Carolina",,Pendiente
cta.title,cta,Home · CTA final,Empieza a tomar decisiones con datos reales,Start making decisions with real data,,Pendiente
cta.cta,cta,Home · CTA final,Hablemos sobre tu granja,Let's talk about your farm,,Pendiente
footer.colProducts.title,footer,Footer,Productos,Products,,Pendiente
footer.colProducts.links.[0].label,footer,Footer,PigVision,PigVision,,Pendiente
footer.colProducts.links.[0].href,footer,Footer,/pigvision,/pigvision,,Pendiente
footer.colProducts.links.[1].label,footer,Footer,Insylo,Insylo,,Pendiente
footer.colProducts.links.[1].href,footer,Footer,/insylo,/insylo,,Pendiente
footer.colProducts.links.[2].label,footer,Footer,Sensores Ambientales,Environmental Sensors,,Pendiente
footer.colProducts.links.[2].href,footer,Footer,/nodos,/nodos,,Pendiente
footer.colSaber.title,footer,Footer,El poder del saber,The power of knowing,,Pendiente
footer.colSaber.links.[0].label,footer,Footer,Ciencias de la innovación,Sciences of innovation,,Pendiente
footer.colSaber.links.[0].href,footer,Footer,https://39682324.fs1.hubspotusercontent-na1.net/hubfs/39682324/14+Innovacion+Agropecuaria.pdf,https://39682324.fs1.hubspotusercontent-na1.net/hubfs/39682324/14+Innovacion+Agropecuaria.pdf,,Pendiente
footer.colSaber.links.[1].label,footer,Footer,Revista digital: BM Editores,Digital magazine: BM Editores,,Pendiente
footer.colSaber.links.[1].href,footer,Footer,https://bmeditores.mx/porcicultura/asimetrix-marca-la-diferencia-en-control-de-crecimiento-porcino/,https://bmeditores.mx/porcicultura/asimetrix-marca-la-diferencia-en-control-de-crecimiento-porcino/,,Pendiente
footer.colSaber.links.[2].label,footer,Footer,Revista digital: Pig Progress,Digital magazine: Pig Progress,,Pendiente
footer.colSaber.links.[2].href,footer,Footer,https://www.pigprogress.net/market-trends-analysis-the-industrymarkets/wrapping-up-february-whats-new-in-the-world-of-pigs-7/,https://www.pigprogress.net/market-trends-analysis-the-industrymarkets/wrapping-up-february-whats-new-in-the-world-of-pigs-7/,,Pendiente
footer.quoteTitle,footer,Footer,Cotizar,Get a quote,,Pendiente
footer.quoteText,footer,Footer,Escríbenos y te contactaremos.,Write to us and we'll get in touch.,,Pendiente
footer.login,footer,Footer,Login,Login,,Pendiente
footer.legal,footer,Footer,"Asimetrix · Desbloquea el poder de tus datos. Diseñando nutrición, mejorando vidas. 1307 Person St, Durham, North Carolina. +57 6041500. © 2026 Iluma Alliance","Asimetrix · Unlocking the power of data. Designing nutrition, enhancing lives. 1307 Person St, Durham, North Carolina. +57 6041500. © 2026 Iluma Alliance",,Pendiente
footer.logoAlt,footer,Footer,Asimetrix · Desbloquea el poder de tus datos.,Asimetrix · Unlocking the power of data.,,Pendiente
onix.label,onix,Widget Onix,Habla con Onix,Talk to Onix,,Pendiente
onix.title,onix,Widget Onix,¡Soy Onix!,I'm Onix!,,Pendiente
onix.subtitle,onix,Widget Onix,Hablemos,Let's talk,,Pendiente
onix.close,onix,Widget Onix,Cerrar Onix,Close Onix,,Pendiente
onix.reopen,onix,Widget Onix,Volver a abrir Onix,Reopen Onix,,Pendiente
common.scheduleDemo,common,Comunes (CTAs y labels reutilizados),Agendar demostración,Schedule a demo,,Pendiente
common.talkFarm,common,Comunes (CTAs y labels reutilizados),Hablemos sobre tu granja,Let's talk about your farm,,Pendiente
common.startDeciding,common,Comunes (CTAs y labels reutilizados),Empieza a tomar decisiones con datos reales,Start making decisions with real data,,Pendiente
common.theProblem,common,Comunes (CTAs y labels reutilizados),El problema,The problem,,Pendiente
common.theSolution,common,Comunes (CTAs y labels reutilizados),La solución,The solution,,Pendiente
common.whatMakesDifference,common,Comunes (CTAs y labels reutilizados),Lo que marca la diferencia,What makes the difference,,Pendiente
common.precision,common,Comunes (CTAs y labels reutilizados),de precisión,accuracy,,Pendiente
common.connectsWith,common,Comunes (CTAs y labels reutilizados),se conecta,connects,,Pendiente
common.connectsWithRest,common,Comunes (CTAs y labels reutilizados),con aplicaciones del ecosistema Asimetrix,with applications from the Asimetrix ecosystem,,Pendiente
common.relatedTitle,common,Comunes (CTAs y labels reutilizados),Otros productos que se complementan,Other products that complement,,Pendiente
common.relatedSubtitle,common,Comunes (CTAs y labels reutilizados),Explora las demás soluciones del ecosistema Asimetrix.,Explore the rest of the Asimetrix ecosystem.,,Pendiente
common.discoverTitle,common,Comunes (CTAs y labels reutilizados),Conoce nuestros productos,Discover our products,,Pendiente
common.discoverSubtitle,common,Comunes (CTAs y labels reutilizados),Soluciones que trabajan juntas para transformar tu granja en datos.,Solutions that work together to turn your farm into data.,,Pendiente
common.seeProduct,common,Comunes (CTAs y labels reutilizados),Conocer,Explore,,Pendiente
common.productTaglinePigVision,common,Comunes (CTAs y labels reutilizados),"Conoce el peso de tus lotes,
sin estresar a los cerdos.","Know the weight of your batches,
without stressing your pigs.",,Pendiente
common.productTaglineInsylo,common,Comunes (CTAs y labels reutilizados),"Nivel real de tu silo,
sin quedarte sin alimento.","Real silo level,
never run out of feed.",,Pendiente
common.productTaglineNodos,common,Comunes (CTAs y labels reutilizados),"Monitoreo continuo de temperatura,
humedad y CO₂ en tu granja.","Continuous monitoring of temperature,
humidity and CO₂ on your farm.",,Pendiente
pigvision.pageLabel,pigvision,Producto PigVision (/pigvision),PigVision,PigVision,,Pendiente
pigvision.subtitle,pigvision,Producto PigVision (/pigvision),"Cámara inteligente para
pesar cerdos en ceba",Smart camera to weigh finishing pigs,,Pendiente
pigvision.range,pigvision,Producto PigVision (/pigvision),de 30Kg a 150Kg,from 30kg to 150kg,,Pendiente
pigvision.problemTitle,pigvision,Producto PigVision (/pigvision),El problema de pensar de forma tradicional,The problem with thinking the traditional way,,Pendiente
pigvision.problemImgAlt,pigvision,Producto PigVision (/pigvision),Cerdos en granja,Pigs on a farm,,Pendiente
pigvision.problems.[0].bold,pigvision,Producto PigVision (/pigvision),Pesajes manuales,Manual weighings,,Pendiente
pigvision.problems.[0].rest,pigvision,Producto PigVision (/pigvision),que estresan a los cerdos,that stress the pigs,,Pendiente
pigvision.problems.[1].bold,pigvision,Producto PigVision (/pigvision),Datos poco frecuentes,Infrequent data,,Pendiente
pigvision.problems.[1].rest,pigvision,Producto PigVision (/pigvision),o inestables,or unstable data,,Pendiente
pigvision.problems.[2].bold,pigvision,Producto PigVision (/pigvision),Decisiones tardías sobre,Late decisions about,,Pendiente
pigvision.problems.[2].rest,pigvision,Producto PigVision (/pigvision),crecimiento y venta,growth and sale,,Pendiente
pigvision.solutionSubtitle,pigvision,Producto PigVision (/pigvision),datos claros para soluciones productivas,clear data for productive solutions,,Pendiente
pigvision.solutionImgAltPigs,pigvision,Producto PigVision (/pigvision),Cerdos monitoreados,Monitored pigs,,Pendiente
pigvision.solutionImgAltRender,pigvision,Producto PigVision (/pigvision),PigVision plataforma de monitoreo,PigVision monitoring platform,,Pendiente
pigvision.highlightTitle1,pigvision,Producto PigVision (/pigvision),Medición,Contactless,,Pendiente
pigvision.highlightTitle2,pigvision,Producto PigVision (/pigvision),sin contacto,measurement,,Pendiente
pigvision.highlightText,pigvision,Producto PigVision (/pigvision),Calcula el peso sin tocar ni estresar a los animales.,Calculate weight without touching or stressing the animals.,,Pendiente
pigvision.features.[0].title,pigvision,Producto PigVision (/pigvision),Detección de anomalías en el crecimiento,Growth anomaly detection,,Pendiente
pigvision.features.[0].text,pigvision,Producto PigVision (/pigvision),Identifica desviaciones en el desempeño del lote para intervenir a tiempo.,Identify deviations in batch performance to intervene in time.,,Pendiente
pigvision.features.[1].title,pigvision,Producto PigVision (/pigvision),Plataforma de monitoreo,Monitoring platform,,Pendiente
pigvision.features.[1].text,pigvision,Producto PigVision (/pigvision),Visualiza el historial productivo del lote en una sola plataforma.,View the batch's productive history on a single platform.,,Pendiente
pigvision.features.[2].title,pigvision,Producto PigVision (/pigvision),Proyección de peso y crecimiento,Weight and growth projection,,Pendiente
pigvision.features.[2].text,pigvision,Producto PigVision (/pigvision),Anticipa el peso futuro de tus animales y mejora la planificación de salida.,Anticipate your animals' future weight and improve exit planning.,,Pendiente
pigvision.diffImgAlt,pigvision,Producto PigVision (/pigvision),Granja porcina,Swine farm,,Pendiente
pigvision.diffBadge1,pigvision,Producto PigVision (/pigvision),ROI productivo de hasta 8:1,Productive ROI of up to 8:1,,Pendiente
pigvision.diffBadge2,pigvision,Producto PigVision (/pigvision),Diagnóstico remoto,Remote diagnostics,,Pendiente
pigvision.diffSlides.[0].img,pigvision,Producto PigVision (/pigvision),/images/pigvision/pv_diff_01.jpg,/images/pigvision/pv_diff_01.jpg,,Pendiente
pigvision.diffSlides.[0].title,pigvision,Producto PigVision (/pigvision),ROI productivo de hasta 8:1,Productive ROI of up to 8:1,,Pendiente
pigvision.diffSlides.[0].text,pigvision,Producto PigVision (/pigvision),Convierte datos de peso en decisiones que impactan directamente la rentabilidad.,Turn weight data into decisions that directly impact profitability.,,Pendiente
pigvision.diffSlides.[1].img,pigvision,Producto PigVision (/pigvision),/images/pigvision/pv_diff_02.jpg,/images/pigvision/pv_diff_02.jpg,,Pendiente
pigvision.diffSlides.[1].title,pigvision,Producto PigVision (/pigvision),Diagnóstico remoto,Remote diagnostics,,Pendiente
pigvision.diffSlides.[1].text,pigvision,Producto PigVision (/pigvision),Permite visualizar posibles lesiones en los animales y aseo en los corrales.,Lets you spot possible injuries in the animals and pen cleanliness.,,Pendiente
pigvision.diffSlides.[2].img,pigvision,Producto PigVision (/pigvision),/images/pigvision/pv_diff_03.jpg,/images/pigvision/pv_diff_03.jpg,,Pendiente
pigvision.diffSlides.[2].title,pigvision,Producto PigVision (/pigvision),Detección temprana de desviaciones,Early deviation detection,,Pendiente
pigvision.diffSlides.[2].text,pigvision,Producto PigVision (/pigvision),Comprende el crecimiento por fases para ajustes oportunos.,Understand growth by phases for timely adjustments.,,Pendiente
pigvision.comparison.rows.[0],pigvision,Producto PigVision (/pigvision),Función principal,Main function,,Pendiente
pigvision.comparison.rows.[1],pigvision,Producto PigVision (/pigvision),Cómo utiliza los datos de PigVision,How it uses PigVision data,,Pendiente
pigvision.comparison.rows.[2],pigvision,Producto PigVision (/pigvision),Tipo de dato utilizado,Type of data used,,Pendiente
pigvision.comparison.columns.[0].title,pigvision,Producto PigVision (/pigvision),OPTIMARKET,OPTIMARKET,,Pendiente
pigvision.comparison.columns.[0].cells.[0],pigvision,Producto PigVision (/pigvision),Optimiza el calendario de salida para maximizar rentabilidad.,Optimizes the shipping schedule to maximize profitability.,,Pendiente
pigvision.comparison.columns.[0].cells.[1],pigvision,Producto PigVision (/pigvision),Toma el peso actual calculado por las cámaras y simula matemáticamente la curva de distribución de tamaños del lote para planear entregas escalonadas.,Takes the current weight calculated by the cameras and mathematically simulates the batch's size distribution curve to plan staggered deliveries.,,Pendiente
pigvision.comparison.columns.[0].cells.[2],pigvision,Producto PigVision (/pigvision),Peso promedio del lote proyectado matemáticamente hacia el futuro.,Batch average weight mathematically projected into the future.,,Pendiente
pigvision.comparison.columns.[1].title,pigvision,Producto PigVision (/pigvision),DASHBOARD DE PIGVISION,PIGVISION DASHBOARD,,Pendiente
pigvision.comparison.columns.[1].cells.[0],pigvision,Producto PigVision (/pigvision),Es la plataforma central que consolida el rendimiento del lote y grafica el crecimiento de los animales en el tiempo.,It is the central platform that consolidates batch performance and charts the animals' growth over time.,,Pendiente
pigvision.comparison.columns.[1].cells.[1],pigvision,Producto PigVision (/pigvision),"Traza curvas de crecimiento cruzando la edad de los animales con su peso, comparando automáticamente estos resultados frente a la meta de la guía genética.","Plots growth curves crossing the animals' age with their weight, automatically comparing these results against the genetic guide target.",,Pendiente
pigvision.comparison.columns.[1].cells.[2],pigvision,Producto PigVision (/pigvision),Pesos promedios y datos de ganancia diaria.,Average weights and daily gain data.,,Pendiente
insylo.pageLabel,insylo,Producto Insylo (/insylo),Insylo,Insylo,,Pendiente
insylo.subtitle,insylo,Producto Insylo (/insylo),Sensor 3D para monitoreo de alimento en silos,3D sensor for feed monitoring in silos,,Pendiente
insylo.range,insylo,Producto Insylo (/insylo),de hasta 12 metros.,up to 12 meters.,,Pendiente
insylo.problemTitle,insylo,Producto Insylo (/insylo),El problema del monitoreo manual del silo,The problem with manual silo monitoring,,Pendiente
insylo.problemImgAlt,insylo,Producto Insylo (/insylo),Silo metálico en paisaje montañoso,Metal silo in a mountainous landscape,,Pendiente
insylo.problems.[0].bold,insylo,Producto Insylo (/insylo),Medición imprecisa,Imprecise measurement,,Pendiente
insylo.problems.[0].rest,insylo,Producto Insylo (/insylo),de alimento dentro del silo,of feed inside the silo,,Pendiente
insylo.problems.[1].bold,insylo,Producto Insylo (/insylo),Desabastecimiento,Unexpected,,Pendiente
insylo.problems.[1].rest,insylo,Producto Insylo (/insylo),inesperado,stockouts,,Pendiente
insylo.problems.[2].bold,insylo,Producto Insylo (/insylo),Visibilidad limitada,Limited visibility,,Pendiente
insylo.problems.[2].rest,insylo,Producto Insylo (/insylo),del silo,of the silo,,Pendiente
insylo.solutionSubtitle,insylo,Producto Insylo (/insylo),Monitoreo continuo del alimento en silo,Continuous monitoring of feed in the silo,,Pendiente
insylo.solutionImgAltLeft,insylo,Producto Insylo (/insylo),Sensor Insylo instalado,Insylo sensor installed,,Pendiente
insylo.solutionImgAltCenter,insylo,Producto Insylo (/insylo),Medición de grano en silo industrial,Grain measurement in an industrial silo,,Pendiente
insylo.highlightTitle,insylo,Producto Insylo (/insylo),Alertas configurables,Configurable alerts,,Pendiente
insylo.highlightText,insylo,Producto Insylo (/insylo),Recibe alertas cuando el nivel de alimento baja del umbral definido.,Receive alerts when the feed level drops below the defined threshold.,,Pendiente
insylo.features.[0].title,insylo,Producto Insylo (/insylo),Medición automática,Automatic measurement,,Pendiente
insylo.features.[0].text,insylo,Producto Insylo (/insylo),Mide el nivel de alimento sin inspecciones manuales.,Measure the feed level without manual inspections.,,Pendiente
insylo.features.[1].title,insylo,Producto Insylo (/insylo),Datos en tiempo real,Real-time data,,Pendiente
insylo.features.[1].text,insylo,Producto Insylo (/insylo),"Consulta el estado del silo en tiempo real, desde cualquier lugar.","Check the silo's status in real time, from anywhere.",,Pendiente
insylo.features.[2].title,insylo,Producto Insylo (/insylo),Historial y consumo,History and consumption,,Pendiente
insylo.features.[2].text,insylo,Producto Insylo (/insylo),Analiza el consumo de alimento a lo largo del tiempo desde la plataforma.,Analyze feed consumption over time from the platform.,,Pendiente
insylo.diffImgAlt,insylo,Producto Insylo (/insylo),Silo lleno de alimento animal,Silo full of animal feed,,Pendiente
insylo.diffBadge1,insylo,Producto Insylo (/insylo),Monitoreo ambiental del silo,Environmental monitoring of the silo,,Pendiente
insylo.diffBlockTitle,insylo,Producto Insylo (/insylo),Topografía 3D del alimento,3D topography of the feed,,Pendiente
insylo.diffBlockText,insylo,Producto Insylo (/insylo),Visualiza cómo se distribuye realmente el alimento dentro del silo.,Visualize how the feed is really distributed inside the silo.,,Pendiente
insylo.diffBadge2,insylo,Producto Insylo (/insylo),Proyección de consumo,Consumption projection,,Pendiente
insylo.diffSlides.[0].img,insylo,Producto Insylo (/insylo),/images/insylo/is_diff_01.jpg,/images/insylo/is_diff_01.jpg,,Pendiente
insylo.diffSlides.[0].title,insylo,Producto Insylo (/insylo),Topografía 3D del alimento,3D topography of the feed,,Pendiente
insylo.diffSlides.[0].text,insylo,Producto Insylo (/insylo),Visualiza cómo se distribuye realmente el alimento dentro del silo.,Visualize how the feed is really distributed inside the silo.,,Pendiente
insylo.diffSlides.[1].img,insylo,Producto Insylo (/insylo),/images/insylo/is_diff_02.jpg,/images/insylo/is_diff_02.jpg,,Pendiente
insylo.diffSlides.[1].title,insylo,Producto Insylo (/insylo),Monitoreo ambiental del silo,Environmental monitoring of the silo,,Pendiente
insylo.diffSlides.[1].text,insylo,Producto Insylo (/insylo),Revisa temperatura y humedad para proteger la calidad del alimento.,Check temperature and humidity to protect feed quality.,,Pendiente
insylo.diffSlides.[2].img,insylo,Producto Insylo (/insylo),/images/insylo/is_diff_03.jpg,/images/insylo/is_diff_03.jpg,,Pendiente
insylo.diffSlides.[2].title,insylo,Producto Insylo (/insylo),Proyección de consumo del silo,Silo consumption projection,,Pendiente
insylo.diffSlides.[2].text,insylo,Producto Insylo (/insylo),Anticipa cuándo será necesario reabastecer según el comportamiento del alimento.,Anticipate when restocking will be needed based on feed behavior.,,Pendiente
insylo.comparison.rows.[0],insylo,Producto Insylo (/insylo),Función principal,Main function,,Pendiente
insylo.comparison.rows.[1],insylo,Producto Insylo (/insylo),Cómo utiliza los datos de Insylo,How it uses Insylo data,,Pendiente
insylo.comparison.rows.[2],insylo,Producto Insylo (/insylo),Tipo de dato utilizado,Type of data used,,Pendiente
insylo.comparison.columns.[0].title,insylo,Producto Insylo (/insylo),ECONOMETRIX,ECONOMETRIX,,Pendiente
insylo.comparison.columns.[0].cells.[0],insylo,Producto Insylo (/insylo),Simulador predictivo que genera estados de resultados financieros.,Predictive simulator that generates financial income statements.,,Pendiente
insylo.comparison.columns.[0].cells.[1],insylo,Producto Insylo (/insylo),Cruza el dato exacto del consumo de alimento de la granja con los costos operativos para modelar matemáticamente cómo esto impacta en el margen de rentabilidad.,Crosses the exact feed consumption data of the farm with operating costs to mathematically model how this impacts the profit margin.,,Pendiente
insylo.comparison.columns.[0].cells.[2],insylo,Producto Insylo (/insylo),Niveles de llenado del silo.,Silo fill levels.,,Pendiente
insylo.comparison.columns.[1].title,insylo,Producto Insylo (/insylo),DASHBOARD DE INSYLO,INSYLO DASHBOARD,,Pendiente
insylo.comparison.columns.[1].cells.[0],insylo,Producto Insylo (/insylo),Es la interfaz gráfica para que el productor visualice y controle el inventario de alimento en su granja.,It is the graphical interface for the producer to view and control the feed inventory on their farm.,,Pendiente
insylo.comparison.columns.[1].cells.[1],insylo,Producto Insylo (/insylo),Presenta gráficamente las mediciones de volumen de alimento para que el usuario vigile el abastecimiento y el consumo en tiempo real.,Graphically presents feed volume measurements so the user can monitor supply and consumption in real time.,,Pendiente
insylo.comparison.columns.[1].cells.[2],insylo,Producto Insylo (/insylo),Niveles exactos de llenado de los silos capturados por el sensor.,Exact silo fill levels captured by the sensor.,,Pendiente
nodos.pageLabel,nodos,Producto Sensores Ambientales (/nodos),Sensores ambientales,Environmental sensors,,Pendiente
nodos.title1,nodos,Producto Sensores Ambientales (/nodos),Nodos,Environmental,,Pendiente
nodos.title2,nodos,Producto Sensores Ambientales (/nodos),ambientales,nodes,,Pendiente
nodos.subtitle,nodos,Producto Sensores Ambientales (/nodos),"Sensores para monitorear
el ambiente de la granja","Sensors that monitor
the farm environment",,Pendiente
nodos.tagline,nodos,Producto Sensores Ambientales (/nodos),"Temperatura, humedad, CO₂ y luz bajo control.","Temperature, humidity, CO₂ and light under control.",,Pendiente
nodos.problemTitle,nodos,Producto Sensores Ambientales (/nodos),El problema del monitoreo ambiental manual,The problem with manual environmental monitoring,,Pendiente
nodos.problemImgAlt,nodos,Producto Sensores Ambientales (/nodos),Galpón avícola,Poultry house,,Pendiente
nodos.problems.[0].bold,nodos,Producto Sensores Ambientales (/nodos),Datos medioambientales,Environmental data,,Pendiente
